uavsar_path,flood_mask_path,flight_path,tile_name,flood_fraction,valid_pixels,flood_pixels,tile_stem,canonical_flood_bin,target_bucket,split,seed
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_10_48.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_10_48.tif,fp1,tile_10_48.tif,0.09256123,65535,6066,tile_10_48,05_10_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_10_50.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_10_50.tif,fp1,tile_10_50.tif,0.20592993,65532,13495,tile_10_50,10_25_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_11_51.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_11_51.tif,fp1,tile_11_51.tif,0.06532288,65536,4281,tile_11_51,05_10_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_12_51.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_12_51.tif,fp1,tile_12_51.tif,0.05633545,65536,3692,tile_12_51,05_10_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_12_52.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_12_52.tif,fp1,tile_12_52.tif,0.14244080,65536,9335,tile_12_52,10_25_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_13_50.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_13_50.tif,fp1,tile_13_50.tif,0.03374233,65526,2211,tile_13_50,02_05_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_13_51.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_13_51.tif,fp1,tile_13_51.tif,0.14006042,65536,9179,tile_13_51,10_25_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_13_52.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_13_52.tif,fp1,tile_13_52.tif,0.14927673,65536,9783,tile_13_52,10_25_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_14_49.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_14_49.tif,fp1,tile_14_49.tif,0.42804169,65531,28050,tile_14_49,25_50_percent,02_05_percent,train,42
/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_14_50.tif,/mnt/linuxlab/home/reuuzheng/2026-UAVSAR-Flood-Detection/csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_14_50.tif,fp1,tile_14_50.tif,0.59021547,65532,38678,tile_14_50,gt_50_percent,02_05_percent,train,42
