uavsar_path,flood_mask_path,flight_path,tile_name,flood_fraction,valid_pixels,flood_pixels,tile_stem,canonical_flood_bin,target_bucket,split,seed
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_10_49.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_10_49.tif,fp1,tile_10_49.tif,0.05662623,65535,3711,tile_10_49,05_10_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_10_50.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_10_50.tif,fp1,tile_10_50.tif,0.20592993,65532,13495,tile_10_50,10_25_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_10_51.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_10_51.tif,fp1,tile_10_51.tif,0.16328430,65536,10701,tile_10_51,10_25_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_11_48.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_11_48.tif,fp1,tile_11_48.tif,0.39015123,65531,25567,tile_11_48,25_50_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_11_49.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_11_49.tif,fp1,tile_11_49.tif,0.03684998,65536,2415,tile_11_49,02_05_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_11_50.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_11_50.tif,fp1,tile_11_50.tif,0.03758240,65536,2463,tile_11_50,02_05_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_12_48.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_12_48.tif,fp1,tile_12_48.tif,0.70770264,65536,46380,tile_12_48,gt_50_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_12_51.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_12_51.tif,fp1,tile_12_51.tif,0.05633545,65536,3692,tile_12_51,05_10_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_12_52.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_12_52.tif,fp1,tile_12_52.tif,0.14244080,65536,9335,tile_12_52,10_25_percent,05_10_percent,train,42
csv_organized_tiles/Only_PNG_Data/fp1/UAVSAR/tile_13_50.tif,csv_organized_tiles/Only_PNG_Data/fp1/flood_mask/tile_13_50.tif,fp1,tile_13_50.tif,0.03374233,65526,2211,tile_13_50,02_05_percent,05_10_percent,train,42
